id,type,true_price,pred_price,pct_diff
property_1337124172_prodej_byt_1_1_praha-brevnov-belohorska,worst,3749921.000000001,8077856.24823355,1.1541403800862866
property_961372748_prodej_byt_1_kk_praha-bubenec-jugoslavskych-partyzanu,worst,1649999.9999999986,3275161.073288572,0.9849461050233786
property_2897543756_prodej_byt_1_kk_praha-dolni-mecholupy-v-osikach,worst,5699985.999999999,10033140.886700094,0.7602044788706666
property_1078096460_prodej_byt_1_1_praha-liben-,worst,4500012.999999996,7744275.054424515,0.7209450404753323
property_3858264652_prodej_byt_2_kk_praha-strasnice-cernokostelecka,worst,5600004.000000002,9263313.119253894,0.6541618754654267
property_834294348_prodej_byt_3_kk_praha-kobylisy-frydlantska,mid,8400015.000000004,9070792.77935348,0.07985435494501816
property_632500812_prodej_byt_1_kk_praha-zbraslav-elisky-premyslovny,mid,6190016.000000004,6684414.0385815175,0.07987023597055541
property_3217904204_prodej_byt_2_kk_praha-holesovice-komunardu,mid,8248000.000000007,8904464.762083532,0.07959078104795396
property_3095220812_prodej_byt_4_kk_praha-kobylisy-vrsni,mid,10999871.999999996,10110799.166684456,-0.08082574354642857
property_71222604_prodej_byt_2_kk_praha-praha-5-na-vysoke-i,mid,9532271.999999996,8782216.914569397,-0.07868586685635912
