id,type,true_price,pred_price,pct_diff
property_3858264652_prodej_byt_2_kk_praha-strasnice-cernokostelecka,worst,5600004.000000002,10261973.054146165,0.8324938793161865
property_2897543756_prodej_byt_1_kk_praha-dolni-mecholupy-v-osikach,worst,5699985.999999999,10231047.633728258,0.7949250460840185
property_1337124172_prodej_byt_1_1_praha-brevnov-belohorska,worst,3749921.000000001,6687377.083786609,0.7833381246662549
property_1078096460_prodej_byt_1_1_praha-liben-,worst,4500012.999999996,7258760.3840372935,0.613053203187924
property_3832345164_prodej_byt_2_kk_praha-vysocany-spojovaci,worst,6599999.999999997,10222719.542363085,0.5488969003580438
property_2276815436_prodej_byt_2_kk_praha-strasnice-rembrandtova,mid,5950000.0,5603674.462342994,-0.05820597271546314
property_1177989708_prodej_byt_2_kk_praha-jinonice-reporyjska,mid,9290679.999999998,9828793.468962368,0.0579197075953934
property_2444386892_prodej_byt_1_kk_praha-haje-bajkonurska,mid,4590011.999999996,4854973.161246619,0.05772559227440432
property_3451155020_prodej_byt_2_kk_praha-seberov-k-seberovu,mid,9699996.0,10256583.33922927,0.057380161726795643
property_1711374924_prodej_byt_2_kk_praha-hrdlorezy-ucnovska,mid,8800013.999999996,8282773.743470057,-0.05877720836920709
