id,y_true,y_pred
property_415244876_prodej_byt_3_1_praha-stodulky-borovanskeho,8999000.0,9364882.569199514
property_3332198988_prodej_byt_2_kk_praha-zizkov-malesicka,9097000.0,8552200.550760321
property_308097612_prodej_byt_2_kk_praha-zbraslav-elisky-premyslovny,5590000.0,5838425.791847109
property_3221267020_prodej_byt_3_kk_praha-strasnice-limuzska,10383528.0,12862970.230625551
property_3345093964_prodej_byt_2_kk_praha-modrany-ceskoslovenskeho-exilu,12410000.0,8898717.39471722
property_4109566540_prodej_byt_2_kk_praha-kamyk-vosatkova,8428659.0,8367173.458633988
property_2257229132_prodej_byt_2_kk_praha-praha-lysolaje-,9550000.0,9633134.435681526
property_955134540_prodej_byt_2_kk_praha-zizkov-v-domove,12990000.0,11181842.881219948
property_2519114316_prodej_byt_2_kk_praha-smichov-nad-koulkou,9859080.0,10439288.505987123
property_1995072844_prodej_byt_1_kk_praha-praha-5-na-vysoke-i,6813520.0,6676565.620252753
property_2943496780_prodej_byt_3_kk_praha-liben-drahobejlova,13690000.0,10896180.374331549
property_4003820108_prodej_byt_2_kk_praha-kobylisy-kurkova,8700000.0,6784807.891071438
property_3280339532_prodej_byt_2_kk_praha-strasnice-ramonova,13900000.0,12464819.801835867
property_2175304268_prodej_byt_3_1_praha-strasnice-cernokostelecka,9300000.0,9484137.672580045
property_2217894476_prodej_byt_2_kk_praha-letnany-tupolevova,8635200.0,9672808.260248601
property_3075240524_prodej_byt_2_kk_praha-sobin-hostivicka,7290000.0,7025385.790204266
property_1087955532_prodej_byt_3_kk_praha-chodov-nechvilova,7550000.0,8346362.850095892
property_3381027916_prodej_byt_1_kk_praha-mala-strana-valdstejnske-namesti,11500000.0,10164094.950166961
property_2732466764_prodej_byt_3_kk_praha-holesovice-osadni,14900000.0,12840927.979722345
property_547366220_prodej_byt_2_kk_praha-praha-cakovice-belomlynska,7255920.0,7167193.855243298
property_1830446412_prodej_byt_3_kk_praha-praha-5-na-vysoke-i,14942990.0,12819210.929955557
property_7492172_prodej_byt_3_1_praha-kobylisy-strelnicna,8320000.0,9801275.064981028
property_702026316_prodej_byt_1_kk_praha-stresovice-za-pohorelcem,4790000.0,5054362.99742224
property_3958907468_prodej_byt_3_1_praha-hloubetin-podebradska,6990000.0,7679862.003066396
property_1310376524_prodej_byt_4_kk_praha-repy-hofbauerova,14812000.0,13030580.35523019
property_3508105804_prodej_byt_3_1_praha-haje-stichova,8250000.0,8586238.591231514
property_4036645452_prodej_byt_2_kk_praha-stodulky-belohlavkova,9490000.0,9284253.962541193
property_3556811340_prodej_byt_2_kk_praha-bohnice-v-zamcich,8890000.0,8345080.978990829
property_3138265676_prodej_byt_2_kk_praha-letnany-pavla-benese,9870000.0,7777114.901798047
property_2638049868_prodej_byt_3_kk_praha-kunratice-uresova,10900000.0,10134638.560081555
property_2665047372_prodej_byt_1_kk_praha-karlin-vitkova,10022000.0,9406235.203318223
property_2314891852_prodej_byt_2_kk_praha-vysocany-ke-klicovu,9790000.0,9386489.267686337
property_2081190476_prodej_byt_3_1_praha-michle-u-botice,9970000.0,9122832.909471154
property_121860684_prodej_byt_2_kk_praha-krc-v-stihlach,5800000.0,5441102.674192764
property_2984776268_prodej_byt_2_kk_praha-nove-mesto-u-nemocenske-pojistovny,9195000.0,10364186.781762827
property_2976862796_prodej_byt_2_kk_praha-liben-ceskomoravska,6550000.0,7150603.238657717
property_2728550988_prodej_byt_3_1_praha-zabehlice-strimelicka,8890000.0,8898613.942626666
property_4075618892_prodej_byt_2_kk_praha-praha-8-krizikova,9670000.0,9041780.108265111
property_2597126732_prodej_byt_3_kk_praha-stodulky-5-maje,14932000.0,14098259.788450673
property_3554112076_prodej_byt_2_1_praha-zizkov-pod-lipami,7280000.0,7481964.191046955
property_2432332364_prodej_byt_1_1_praha-podoli-kaplicka,6950000.0,5055771.65258511
property_3207418444_prodej_byt_2_kk_praha-vokovice-africka,10400000.0,9037951.34243165
property_4258091596_prodej_byt_3_1_praha-kamyk-u-kamyku,9749000.0,8979157.55308363
property_4138177100_prodej_byt_4_1_praha-holesovice-tusarova,13490000.0,13145905.83493681
property_2978751052_prodej_byt_1_1_praha-nove-mesto-jeruzalemska,7990000.0,8636003.223237384
property_2909930060_prodej_byt_2_kk_praha-hostavice-u-hostavickeho-potoka,7390000.0,6832311.403029624
property_1726158156_prodej_byt_3_kk_praha-cakovice-marie-podvalove,10739802.0,10278555.394319905
property_2340184652_prodej_byt_3_kk_praha-kobylisy-,8990000.0,8706211.256853638
property_585839180_prodej_byt_2_kk_praha-nusle-boleslavova,10250000.0,9821209.99819689
property_393462348_prodej_byt_1_kk_praha-nove-mesto-celakovskeho-sady,7589000.0,8676250.690492218
property_229696076_prodej_byt_3_kk_praha-ujezd-nad-lesy-rohoznicka,10696715.0,10805512.40038932
