id,y_true,y_pred
property_415244876_prodej_byt_3_1_praha-stodulky-borovanskeho,8999000.0,9272679.090627827
property_3332198988_prodej_byt_2_kk_praha-zizkov-malesicka,9097000.0,8665676.791853912
property_308097612_prodej_byt_2_kk_praha-zbraslav-elisky-premyslovny,5590000.0,5880710.776501071
property_3221267020_prodej_byt_3_kk_praha-strasnice-limuzska,10383528.0,12944878.529733535
property_3345093964_prodej_byt_2_kk_praha-modrany-ceskoslovenskeho-exilu,12410000.0,8968897.571450021
property_4109566540_prodej_byt_2_kk_praha-kamyk-vosatkova,8428659.0,8538358.021074347
property_2257229132_prodej_byt_2_kk_praha-praha-lysolaje-,9550000.0,9669561.10631411
property_955134540_prodej_byt_2_kk_praha-zizkov-v-domove,12990000.0,11115866.060095979
property_2519114316_prodej_byt_2_kk_praha-smichov-nad-koulkou,9859080.0,10493911.52790046
property_1995072844_prodej_byt_1_kk_praha-praha-5-na-vysoke-i,6813520.0,6980796.528343773
property_2943496780_prodej_byt_3_kk_praha-liben-drahobejlova,13690000.0,11032327.802923337
property_4003820108_prodej_byt_2_kk_praha-kobylisy-kurkova,8700000.0,6887077.222712156
property_3280339532_prodej_byt_2_kk_praha-strasnice-ramonova,13900000.0,12982708.556670045
property_2175304268_prodej_byt_3_1_praha-strasnice-cernokostelecka,9300000.0,9385807.361684052
property_2217894476_prodej_byt_2_kk_praha-letnany-tupolevova,8635200.0,9551887.13856468
property_3075240524_prodej_byt_2_kk_praha-sobin-hostivicka,7290000.0,6980720.268024381
property_1087955532_prodej_byt_3_kk_praha-chodov-nechvilova,7550000.0,8367843.841940178
property_3381027916_prodej_byt_1_kk_praha-mala-strana-valdstejnske-namesti,11500000.0,10624823.660606395
property_2732466764_prodej_byt_3_kk_praha-holesovice-osadni,14900000.0,12917698.156817188
property_547366220_prodej_byt_2_kk_praha-praha-cakovice-belomlynska,7255920.0,7114312.830999
property_1830446412_prodej_byt_3_kk_praha-praha-5-na-vysoke-i,14942990.0,13178297.63498101
property_7492172_prodej_byt_3_1_praha-kobylisy-strelnicna,8320000.0,9570798.048334304
property_702026316_prodej_byt_1_kk_praha-stresovice-za-pohorelcem,4790000.0,5219405.532037529
